date,state,district,pincode,age_0_5,age_5_17,age_18_greater
03-09-2025,Telangana,Nalgonda,508116,5,0,0
03-09-2025,Telangana,Nalgonda,508205,1,0,0
03-09-2025,Telangana,Nalgonda,508206,1,0,0
03-09-2025,Telangana,Nalgonda,508210,2,0,0
03-09-2025,Telangana,Nalgonda,508245,7,1,0
03-09-2025,Telangana,Nalgonda,508254,4,1,0
03-09-2025,Telangana,Nalgonda,508255,6,0,0
03-09-2025,Telangana,Nalgonda,508285,1,0,0
02-09-2025,Telangana,Nalgonda,508114,1,0,0
02-09-2025,Telangana,Nalgonda,508116,5,0,0
02-09-2025,Telangana,Nalgonda,508243,6,1,0
02-09-2025,Telangana,Nalgonda,508250,3,0,0
02-09-2025,Telangana,Nalgonda,508253,3,1,0
02-09-2025,Telangana,Nalgonda,508258,7,1,0
02-09-2025,Telangana,Nalgonda,508266,1,2,0
01-09-2025,Telangana,Nalgonda,508105,2,0,0
01-09-2025,Telangana,Nalgonda,508207,23,4,0
01-09-2025,Telangana,Nalgonda,508210,6,0,0
01-09-2025,Telangana,Nalgonda,508211,1,1,0
01-09-2025,Telangana,Nalgonda,508217,4,0,0
01-09-2025,Telangana,Nalgonda,508248,1,1,0
01-09-2025,Telangana,Nalgonda,508258,2,2,0
01-09-2025,Telangana,Nalgonda,508278,1,1,0
01-09-2025,Telangana,Nalgonda,508284,4,1,0
01-09-2025,Telangana,Nalgonda,508377,3,1,0
06-09-2025,Telangana,Nalgonda,508004,2,0,0
06-09-2025,Telangana,Nalgonda,508207,6,6,0
06-09-2025,Telangana,Nalgonda,508212,0,1,0
06-09-2025,Telangana,Nalgonda,508243,2,0,0
06-09-2025,Telangana,Nalgonda,508245,1,0,0
06-09-2025,Telangana,Nalgonda,508266,2,0,0
06-09-2025,Telangana,Nalgonda,508377,0,1,0
05-09-2025,Telangana,Nalgonda,508207,6,0,0
05-09-2025,Telangana,Nalgonda,508250,1,0,0
04-09-2025,Telangana,Nalgonda,508105,2,1,0
04-09-2025,Telangana,Nalgonda,508207,11,0,0
04-09-2025,Telangana,Nalgonda,508211,3,2,0
04-09-2025,Telangana,Nalgonda,508222,2,1,0
04-09-2025,Telangana,Nalgonda,508243,1,2,0
04-09-2025,Telangana,Nalgonda,508376,1,0,0
04-09-2025,Telangana,Nalgonda,508377,1,0,0
09-09-2025,Telangana,Nalgonda,508112,1,0,0
09-09-2025,Telangana,Nalgonda,508116,4,0,0
09-09-2025,Telangana,Nalgonda,508202,3,2,0
09-09-2025,Telangana,Nalgonda,508206,0,1,0
09-09-2025,Telangana,Nalgonda,508212,1,0,0
09-09-2025,Telangana,Nalgonda,508221,1,0,0
09-09-2025,Telangana,Nalgonda,508222,0,2,0
09-09-2025,Telangana,Nalgonda,508238,0,1,0
09-09-2025,Telangana,Nalgonda,508248,11,1,0
09-09-2025,Telangana,Nalgonda,508250,1,0,0
09-09-2025,Telangana,Nalgonda,508252,2,0,0
09-09-2025,Telangana,Nalgonda,508278,5,1,0
09-09-2025,Telangana,Nalgonda,508373,2,0,0
08-09-2025,Telangana,Nalgonda,508001,13,2,0
08-09-2025,Telangana,Nalgonda,508004,1,0,0
08-09-2025,Telangana,Nalgonda,508112,0,1,0
08-09-2025,Telangana,Nalgonda,508205,4,0,0
08-09-2025,Telangana,Nalgonda,508245,3,0,0
08-09-2025,Telangana,Nalgonda,508254,2,0,0
08-09-2025,Telangana,Nalgonda,508256,3,0,0
08-09-2025,Telangana,Nalgonda,508258,7,1,0
08-09-2025,Telangana,Nalgonda,508374,1,0,0
08-09-2025,Telangana,Nalgonda,508376,2,0,0
11-09-2025,Telangana,Nalgonda,508114,1,0,0
11-09-2025,Telangana,Nalgonda,508202,2,0,0
11-09-2025,Telangana,Nalgonda,508207,10,5,0
11-09-2025,Telangana,Nalgonda,508222,3,0,0
11-09-2025,Telangana,Nalgonda,508247,2,0,0
11-09-2025,Telangana,Nalgonda,508248,3,2,0
11-09-2025,Telangana,Nalgonda,508255,3,1,0
11-09-2025,Telangana,Nalgonda,508355,3,0,0
10-09-2025,Telangana,Nalgonda,508001,4,0,0
10-09-2025,Telangana,Nalgonda,508115,1,0,0
10-09-2025,Telangana,Nalgonda,508207,16,4,0
10-09-2025,Telangana,Nalgonda,508210,0,4,0
10-09-2025,Telangana,Nalgonda,508221,2,0,0
10-09-2025,Telangana,Nalgonda,508244,4,0,0
10-09-2025,Telangana,Nalgonda,508257,1,0,0
10-09-2025,Telangana,Nalgonda,508278,6,1,0
10-09-2025,Telangana,Nalgonda,508355,6,2,0
14-09-2025,Telangana,Nalgonda,508114,1,0,0
14-09-2025,Telangana,Nalgonda,508204,1,0,0
13-09-2025,Telangana,Nalgonda,508112,0,1,0
13-09-2025,Telangana,Nalgonda,508116,4,0,0
13-09-2025,Telangana,Nalgonda,508204,1,0,0
13-09-2025,Telangana,Nalgonda,508205,3,0,0
13-09-2025,Telangana,Nalgonda,508222,1,0,0
13-09-2025,Telangana,Nalgonda,508255,0,1,0
13-09-2025,Telangana,Nalgonda,508266,1,0,0
13-09-2025,Telangana,Nalgonda,508355,1,0,0
13-09-2025,Telangana,Nalgonda,508374,1,0,0
13-09-2025,Telangana,Nalgonda,508377,1,0,0
12-09-2025,Telangana,Nalgonda,508126,2,1,0
12-09-2025,Telangana,Nalgonda,508222,3,0,0
12-09-2025,Telangana,Nalgonda,508254,2,0,0
12-09-2025,Telangana,Nalgonda,508278,2,0,0
16-09-2025,Telangana,Nalgonda,508210,2,0,0
16-09-2025,Telangana,Nalgonda,508213,3,0,0
16-09-2025,Telangana,Nalgonda,508217,2,0,0
16-09-2025,Telangana,Nalgonda,508244,3,0,0
16-09-2025,Telangana,Nalgonda,508254,4,0,0
16-09-2025,Telangana,Nalgonda,508255,1,0,0
16-09-2025,Telangana,Nalgonda,508257,1,0,0
16-09-2025,Telangana,Nalgonda,508266,3,1,0
16-09-2025,Telangana,Nalgonda,508373,3,0,0
16-09-2025,Telangana,Nalgonda,508377,2,0,0
15-09-2025,Telangana,Nalgonda,508113,0,2,0
15-09-2025,Telangana,Nalgonda,508116,3,0,0
15-09-2025,Telangana,Nalgonda,508202,2,1,0
15-09-2025,Telangana,Nalgonda,508205,2,0,0
15-09-2025,Telangana,Nalgonda,508206,4,0,0
